분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A 연료연소_2 제조업 및 건설업_f 기타,26754.34038,30720.32722,31886.74795,35028.61045,37353.07401,38522.47528,42122.28313,44066.46774,38331.39074,41931.23204,43589.18618,44538.54069,46921.28377,47727.93911,44377.05197,43208.21118,39881.80653,42537.93763,42912.24643,39985.52758,43673.40903,47954.97894,44567.50519,43373.82579,40865.09239,43487.38207,43725.30436,41357.71442,39990.63459,39356.0256,35971.3043,37005.3452
A 연료연소_2 제조업 및 건설업_f 기타_1 비금속,13785.29785,16013.64458,17548.54975,20051.40778,21704.22568,21851.55064,19042.27939,20969.77947,15976.32837,16643.36317,17199.02236,17527.36187,18078.43657,18925.4732,17213.77632,16073.82376,16194.78589,15905.42515,16028.22159,13999.07427,14500.93009,15546.98235,13932.33301,13704.78803,14030.31543,13562.06967,13515.62558,11975.44258,11065.45429,12193.89836,10535.86119,10995.44754
A 연료연소_2 제조업 및 건설업_f 기타_2 조립금속,2556.81049,3150.14211,3372.09751,3851.04817,3972.42919,4305.36842,4955.2054,5784.35166,5870.78476,7006.74591,6110.3039,5619.18646,5697.75938,5092.09303,4583.93105,4032.77615,3770.25126,4072.53945,4583.78627,3963.92817,4471.78398,5206.88365,5242.92809,5209.41392,5241.07132,4628.11795,4600.25675,4460.1741,4974.87044,4938.11588,4913.95924,5155.45155
A 연료연소_2 제조업 및 건설업_f 기타_3 나무 및 목재,218.5904,351.84824,234.93321,229.6987,337.12115,267.6541,286.57435,285.58045,206.09505,254.54756,254.98619,235.92715,251.43307,216.41537,265.91503,170.70318,148.30992,184.23564,179.18943,223.75691,213.61113,181.23385,162.78184,185.27939,191.26532,141.62047,75.12903,74.51232,122.80511,68.89803,70.48401,79.56517
A 연료연소_2 제조업 및 건설업_f 기타_4 건설,1580.73878,1553.70304,1349.62243,1341.45329,1243.54829,1202.90574,1195.25237,1367.1735,1015.20302,1053.44279,1389.19698,1310.78581,1554.43311,1629.34349,1754.32876,1908.54341,2620.30021,2344.87274,2284.73565,2297.02674,2483.15575,2518.24104,2215.05649,2151.88798,2302.36481,2550.54814,2626.56601,2211.86538,2170.47281,2136.74573,2094.7487,1992.37664
A 연료연소_2 제조업 및 건설업_f 기타_5 섬유 및 가죽,5113.197,4897.32565,4698.52775,4860.04155,4985.2554,5201.12502,5078.28854,5162.35713,5700.99707,6197.19856,5898.58635,5608.77132,5485.67467,4958.40992,4600.71062,3924.97841,3128.87782,2732.67301,2514.18121,2236.26131,2300.68557,2034.94087,1565.26129,1032.1394,1034.19515,1022.83642,925.93454,872.88401,706.0536,672.27457,560.44334,565.26365
A 연료연소_2 제조업 및 건설업_f 기타_6 기타제조,3499.70586,4753.66358,4683.01731,4694.96097,5110.49429,5693.87136,11564.68308,10497.22553,9561.98247,10775.93405,12737.0904,14236.50809,15853.54696,16906.2041,15958.39018,17097.38627,14019.28144,17298.19164,17322.13229,17265.48017,19703.24252,22466.69719,21449.14448,21090.31708,18065.88036,21582.18941,21981.79245,21762.83603,20950.97834,19346.09303,17795.80782,18217.24065
A 연료연소_3 수송,35492.43953,38594.84476,43960.19911,55551.94786,57566.18898,64726.82976,68803.37578,74193.0821,57543.31265,62564.18136,69910.3237,73063.78754,78041.96505,80843.59308,80984.77351,81775.72696,82477.4785,84753.82972,82346.10672,83002.49065,84431.43139,84157.64822,85442.17238,86823.0417,87407.96335,92906.50563,97496.96422,97106.76116,96152.53303,98992.18311,94205.73892,96946.05366
A 연료연소_3 수송_a 민간항공,823.88013,898.43339,1048.83611,1177.63725,1207.44361,1331.63785,1381.95433,1586.53958,1350.85375,1301.28032,1410.35821,1302.1618,1343.6744,1379.19743,1141.48031,1035.23802,970.6723,939.54067,979.55573,1082.97299,1141.7682,1203.43408,1209.01875,1307.28103,1413.14532,1456.28601,1656.14386,1647.36903,1596.95909,1642.32855,1561.19477,1695.24878
A 연료연소_3 수송_b 도로수송,30901.9299,35447.51582,40527.11047,48839.48947,51423.3665,58533.59472,64137.95858,68705.49614,52611.74094,57998.15616,64488.97657,67529.65835,72468.54993,75075.4569,75782.63226,76823.44144,77752.67839,80209.59499,77740.26611,78533.9307,80084.86548,79774.60851,81178.49445,83235.28904,84137.51112,88838.9008,93350.44047,93048.19236,92758.94691,95462.49415,91276.6055,93667.47838
